Alimentos,Categoria
Arroz,Cereais e leguminosas
Milho,Cereais e leguminosas
Canjiquinha de milho em grão,Cereais e leguminosas
Xerém de milho,Cereais e leguminosas
Amendoim,Cereais e leguminosas
Ervilha em grão,Cereais e leguminosas
Fava,Cereais e leguminosas
Mangalô amargo em grão,Cereais e leguminosas
Feijão-de-corda,Cereais e leguminosas
Feijão-verde,Cereais e leguminosas
Semente de linhaça,Cereais e leguminosas
Andu,Cereais e leguminosas
Grão de bico,Cereais e leguminosas
Lentilha,Cereais e leguminosas
Soja em grão,Cereais e leguminosas
Feijão,Cereais e leguminosas
Quirera,Cereais e leguminosas
Feijão-verde orgânico,Cereais e leguminosas
Feijão orgânico,Cereais e leguminosas
Pipoca light,Cereais e leguminosas
Arroz orgânico,Cereais e leguminosas
Arroz integral orgânico,Cereais e leguminosas
Feijão-de-soja orgânico,Cereais e leguminosas
Quinoa,Cereais e leguminosas
Batata-inglesa,Hortaliças tuberosas
Mandioquinha salsa,Hortaliças tuberosas
Batata-baroa,Hortaliças tuberosas
Cenoura amarela,Hortaliças tuberosas
Batata-doce,Hortaliças tuberosas
Inhame,Hortaliças tuberosas
Quicaré,Hortaliças tuberosas
Mandioca,Hortaliças tuberosas
Aipim,Hortaliças tuberosas
Macaxeira,Hortaliças tuberosas
Cará,Hortaliças tuberosas
Inhame caraquento,Hortaliças tuberosas
Batata,Hortaliças tuberosas
Mandioquinha,Hortaliças tuberosas
Rabanete,Hortaliças tuberosas
Beterraba,Hortaliças tuberosas
Cenoura,Hortaliças tuberosas
Nabo,Hortaliças tuberosas
Açafrão,Hortaliças tuberosas
Batata-inglesa orgânica,Hortaliças tuberosas
Creme de arroz,"Farinhas, féculas e massas"
Arrozina,"Farinhas, féculas e massas"
Mucilon,"Farinhas, féculas e massas"
Mingau de arroz,"Farinhas, féculas e massas"
Croquinhos de arroz,"Farinhas, féculas e massas"
Farinha de aveia,"Farinhas, féculas e massas"
Aveia em flocos,"Farinhas, féculas e massas"
Fubá de milho,"Farinhas, féculas e massas"
Farinha de milho,"Farinhas, féculas e massas"
Puba de milho,"Farinhas, féculas e massas"
Puba de fubá,"Farinhas, féculas e massas"
Milho moído,"Farinhas, féculas e massas"
Mingau de milho,"Farinhas, féculas e massas"
Amido de milho,"Farinhas, féculas e massas"
Amido de arroz,"Farinhas, féculas e massas"
Cremogema,"Farinhas, féculas e massas"
Vitamilho,"Farinhas, féculas e massas"
Creme de milho,"Farinhas, féculas e massas"
Sucrilhos de milho,"Farinhas, féculas e massas"
Cereal matinal de milho em flocos,"Farinhas, féculas e massas"
Germe de trigo,"Farinhas, féculas e massas"
Fibra de trigo,"Farinhas, féculas e massas"
Fibra de cereal trigo,"Farinhas, féculas e massas"
Farinha de mandioca,"Farinhas, féculas e massas"
Farinha de copioba,"Farinhas, féculas e massas"
Farinha d'água,"Farinhas, féculas e massas"
Cruera,"Farinhas, féculas e massas"
Goma de mandioca,"Farinhas, féculas e massas"
Sagu de mandioca,"Farinhas, féculas e massas"
Farinha de tapioca,"Farinhas, féculas e massas"
Farinha beiju,"Farinhas, féculas e massas"
Sagu de tapioca,"Farinhas, féculas e massas"
Tapioca de goma,"Farinhas, féculas e massas"
Farinha láctea,"Farinhas, féculas e massas"
Neston,"Farinhas, féculas e massas"
Flocos de cereais,"Farinhas, féculas e massas"
Vitaflocos,"Farinhas, féculas e massas"
Mini pizza semipronta,"Farinhas, féculas e massas"
Fibra de soja,"Farinhas, féculas e massas"
Minipastel,"Farinhas, féculas e massas"
Macarrão ,"Farinhas, féculas e massas"
Purê de batata,"Farinhas, féculas e massas"
Bife vegetal,"Farinhas, féculas e massas"
Carne vegetal,"Farinhas, féculas e massas"
Pasta de soja,"Farinhas, féculas e massas"
Carne de soja,"Farinhas, féculas e massas"
Amendoim moído,"Farinhas, féculas e massas"
Granola ,"Farinhas, féculas e massas"
Musli,"Farinhas, féculas e massas"
Mix de cereais,"Farinhas, féculas e massas"
Miojo,"Farinhas, féculas e massas"
Macarrão instantâneo,"Farinhas, féculas e massas"
Sustagem,"Farinhas, féculas e massas"
Proteína de soja,"Farinhas, féculas e massas"
Proteína vegetal,"Farinhas, féculas e massas"
Complemento alimentar,"Farinhas, féculas e massas"
Sucrilhos de milho light,"Farinhas, féculas e massas"
Mini pizza semipronta light,"Farinhas, féculas e massas"
Macarrão instantâneo light,"Farinhas, féculas e massas"
Proteína de soja orgânica,"Farinhas, féculas e massas"
Macarrão com carne,"Farinhas, féculas e massas"
Macarrão com peixe,"Farinhas, féculas e massas"
Coco-da-baía,"Cocos, castanhas e nozes"
Castanha portuguesa,"Cocos, castanhas e nozes"
Pinhão,"Cocos, castanhas e nozes"
Amêndoa,"Cocos, castanhas e nozes"
Avelã,"Cocos, castanhas e nozes"
Castanha-do-pará,"Cocos, castanhas e nozes"
Castanha de caju,"Cocos, castanhas e nozes"
Butiá,"Cocos, castanhas e nozes"
Tucumã,"Cocos, castanhas e nozes"
Coco de mucajá,"Cocos, castanhas e nozes"
Noz,"Cocos, castanhas e nozes"
Açaí ,"Cocos, castanhas e nozes"
Juçara,"Cocos, castanhas e nozes"
Uaçaí,"Cocos, castanhas e nozes"
Jussara,"Cocos, castanhas e nozes"
Pupunha,"Cocos, castanhas e nozes"
Bacaba,"Cocos, castanhas e nozes"
Bacabuçu,"Cocos, castanhas e nozes"
Castanha-da-índia,"Cocos, castanhas e nozes"
Pistache,"Cocos, castanhas e nozes"
Buriti ,"Cocos, castanhas e nozes"
Coco ,"Cocos, castanhas e nozes"
Patauá ,"Cocos, castanhas e nozes"
Alface,"Hortaliças folhosas, frutosas e outras"
Bertalha,"Hortaliças folhosas, frutosas e outras"
Chicória,"Hortaliças folhosas, frutosas e outras"
Escarola,"Hortaliças folhosas, frutosas e outras"
Couve,"Hortaliças folhosas, frutosas e outras"
Couve-flor,"Hortaliças folhosas, frutosas e outras"
Espinafre,"Hortaliças folhosas, frutosas e outras"
Mostarda,"Hortaliças folhosas, frutosas e outras"
Repolho,"Hortaliças folhosas, frutosas e outras"
Cebolinha,"Hortaliças folhosas, frutosas e outras"
Agrião,"Hortaliças folhosas, frutosas e outras"
Taioba,"Hortaliças folhosas, frutosas e outras"
Acelga,"Hortaliças folhosas, frutosas e outras"
Beterraba branca,"Hortaliças folhosas, frutosas e outras"
Almeirão,"Hortaliças folhosas, frutosas e outras"
Radite,"Hortaliças folhosas, frutosas e outras"
Brócolis,"Hortaliças folhosas, frutosas e outras"
Serralha,"Hortaliças folhosas, frutosas e outras"
Caruru,"Hortaliças folhosas, frutosas e outras"
Cuxá,"Hortaliças folhosas, frutosas e outras"
Vinagreira ,"Hortaliças folhosas, frutosas e outras"
Cariru,"Hortaliças folhosas, frutosas e outras"
Rúcula,"Hortaliças folhosas, frutosas e outras"
Jambu,"Hortaliças folhosas, frutosas e outras"
Língua de vaca,"Hortaliças folhosas, frutosas e outras"
